link|title_x|description_x|loaddate
http://arxiv.org/abs/1903.12230|Learning  to  Transfer  Examples  for  Partial  Domain  Adaptation.  (arXiv:1903.12230v1  [cs.CV])|<p>Domain  adaptation  is  critical  for  learning  in  new  and  unseen  environments.With  domain  adversarial  training,  deep  networks  can  learn  disentangled  andtransferable  features  that  effectively  diminish  the  dataset  shift  between  thesource  and  target  domains  for  knowledge  transfer.  In  the  era  of  Big  Data,  theready  availability  of  large-scale  labeled  datasets  has  stimulated  wide  interestin  partial  domain  adaptation  (PDA),  which  transfers  a  recognizer  from  a  labeledlarge  domain  to  an  unlabeled  small  domain.  It  extends  standard  domainadaptation  to  the  scenario  where  target  labels  are  only  a  subset  of  sourcelabels.  Under  the  condition  that  target  labels  are  unknown,  the  key  challengeof  PDA  is  how  to  transfer  relevant  examples  in  the  shared  classes  to  promotepositive  transfer,  and  ignore  irrelevant  ones  in  the  specific  classes  tomitigate  negative  transfer.  In  this  work,  we  propose  a  unified  approach  to  PDA,Example  Transfer  Network  (ETN),  which  jointly  learns  domain-invariantrepresentations  across  the  source  and  target  domains,  and  a  progressiveweighting  scheme  that  quantifies  the  transferability  of  source  examples  whilecontrolling  their  importance  to  the  learning  task  in  the  target  domain.  Athorough  evaluation  on  several  benchmark  datasets  shows  that  our  approachachieves  state-of-the-art  results  for  partial  domain  adaptation  tasks.</p>|2019-04-01  22:52:19.484506
http://arxiv.org/abs/1903.12235|Information  Theoretic  Feature  Transformation  Learning  for  Brain  Interfaces.  (arXiv:1903.12235v1  [cs.LG])|<p>Objective:  A  variety  of  pattern  analysis  techniques  for  model  training  inbrain  interfaces  exploit  neural  feature  dimensionality  reduction  based  onfeature  ranking  and  selection  heuristics.  In  the  light  of  broad  evidencedemonstrating  the  potential  sub-optimality  of  ranking  based  feature  selectionby  any  criterion,  we  propose  to  extend  this  focus  with  an  information  theoreticlearning  driven  feature  transformation  concept.  Methods:  We  present  a  maximummutual  information  linear  transformation  (MMI-LinT),  and  a  nonlineartransformation  (MMI-NonLinT)  framework  derived  by  a  general  definition  of  thefeature  transformation  learning  problem.  Empirical  assessments  are  performedbased  on  electroencephalographic  (EEG)  data  recorded  during  a  four  class  motorimagery  brain-computer  interface  (BCI)  task.  Exploiting  state-of-the-artmethods  for  initial  feature  vector  construction,  we  compare  the  proposedapproaches  with  conventional  feature  selection  based  dimensionality  reductiontechniques  which  are  widely  used  in  brain  interfaces.  Furthermore,  for  themulti-class  problem,  we  present  and  exploit  a  hierarchical  graphical  modelbased  BCI  decoding  system.  Results:  Both  binary  and  multi-class  decodinganalyses  demonstrate  significantly  better  performances  with  the  proposedmethods.  Conclusion:  Information  theoretic  feature  transformations  are  capableof  tackling  potential  confounders  of  conventional  approaches  in  varioussettings.  Significance:  We  argue  that  this  concept  provides  significantinsights  to  extend  the  focus  on  feature  selection  heuristics  to  a  broaderdefinition  of  feature  transformation  learning  in  brain  interfaces.</p>|2019-04-01  22:52:19.484562
http://arxiv.org/abs/1903.12238|Modeling  Acoustic-Prosodic  Cues  for  Word  Importance  Prediction  in  Spoken  Dialogues.  (arXiv:1903.12238v1  [cs.CL])|<p>Prosodic  cues  in  conversational  speech  aid  listeners  in  discerning  a  message.We  investigate  whether  acoustic  cues  in  spoken  dialogue  can  be  used  to  identifythe  importance  of  individual  words  to  the  meaning  of  a  conversation  turn.Individuals  who  are  Deaf  and  Hard  of  Hearing  often  rely  on  real-time  captionsin  live  meetings.  Word  error  rate,  a  traditional  metric  for  evaluatingautomatic  speech  recognition,  fails  to  capture  that  some  words  are  moreimportant  for  a  system  to  transcribe  correctly  than  others.  We  present  andevaluate  neural  architectures  that  use  acoustic  features  for  3-class  wordimportance  prediction.  Our  model  performs  competitively  againststate-of-the-art  text-based  word-importance  prediction  models,  and  itdemonstrates  particular  benefits  when  operating  on  imperfect  ASR  output.</p>|2019-04-01  22:52:19.484596
http://arxiv.org/abs/1903.12239|SpaceNet  MVOI:  a  Multi-View  Overhead  Imagery  Dataset.  (arXiv:1903.12239v1  [cs.CV])|<p>Detection  and  segmentation  of  objects  in  overheard  imagery  is  a  challengingtask.  The  variable  density,  random  orientation,  small  size,  andinstance-to-instance  heterogeneity  of  objects  in  overhead  imagery  calls  forapproaches  distinct  from  existing  models  designed  for  natural  scene  datasets.Though  new  overhead  imagery  datasets  are  being  developed,  they  almostuniversally  comprise  a  single  view  taken  from  directly  overhead  ("at  nadir"),failing  to  address  one  critical  variable:  look  angle.  By  contrast,  views  varyin  real-world  overhead  imagery,  particularly  in  dynamic  scenarios  such  asnatural  disasters  where  first  looks  are  often  over  40  degrees  off-nadir.  Thisrepresents  an  important  challenge  to  computer  vision  methods,  as  changing  viewangle  adds  distortions,  alters  resolution,  and  changes  lighting.  At  present,the  impact  of  these  perturbations  for  algorithmic  detection  and  segmentation  ofobjects  is  untested.  To  address  this  problem,  we  introduce  the  SpaceNetMulti-View  Overhead  Imagery  (MVOI)  Dataset,  an  extension  of  the  SpaceNet  opensource  remote  sensing  dataset.  MVOI  comprises  27  unique  looks  from  a  broadrange  of  viewing  angles  (-32  to  54  degrees).  Each  of  these  images  cover  thesame  geography  and  are  annotated  with  126,747  building  footprint  labels,enabling  direct  assessment  of  the  impact  of  viewpoint  perturbation  on  modelperformance.  We  benchmark  multiple  leading  segmentation  and  object  detectionmodels  on:  (1)  building  detection,  (2)  generalization  to  unseen  viewing  anglesand  resolutions,  and  (3)  sensitivity  of  building  footprint  extraction  tochanges  in  resolution.  We  find  that  segmentation  and  object  detection  modelsstruggle  to  identify  buildings  in  off-nadir  imagery  and  generalize  poorly  tounseen  views,  presenting  an  important  benchmark  to  explore  the  broadly  relevantchallenge  of  detecting  small,  heterogeneous  target  objects  in  visually  dynamiccontexts.</p>|2019-04-01  22:52:19.484628
http://arxiv.org/abs/1903.12243|DEEP-FRI:  Sampling  outside  the  box  improves  soundness.  (arXiv:1903.12243v1  [cs.CC])|<p>Motivated  by  the  quest  for  scalable  and  succinct  zero  knowledge  arguments,  werevisit  worst-case-to-average-case  reductions  for  linear  spaces,  raised  by[Rothblum,  Vadhan,  Wigderson,  STOC  2013].  We  first  show  a  sharp  quantitativeform  of  a  theorem  which  says  that  if  an  affine  space  $U$  is  $\delta$-far  inrelative  Hamming  distance  from  a  linear  code  $V$  -  this  is  the  worst-caseassumption  -  then  most  elements  of  $U$  are  almost  $\delta$-far  from  $V$  -  thisis  the  average  case.  This  leads  to  an  optimal  analysis  of  the  soundness  of  theFRI  protocol  of  [Ben-Sasson,  et.al.,  eprint  2018]  for  proving  proximity  toReed-Solomon  codes.</p><p>To  further  improve  soundness,  we  sample  outside  the  box.  We  suggest  a  newprotocol  which  asks  a  prover  for  values  of  a  polynomial  at  points  outside  thedomain  of  evaluation  of  the  Reed-Solomon  code.  We  call  this  technique  DomainExtending  for  Eliminating  Pretenders  (DEEP).</p><p>We  use  the  DEEP  technique  to  devise  two  new  protocols:  (1)  An  InteractiveOracle  Proof  of  Proximity  (IOPP)  for  RS  codes,  called  DEEP-FRI.  This  soundnessof  the  protocol  improves  upon  that  of  the  FRI  protocol  while  retaining  lineararithmetic  proving  complexity  and  logarithmic  verifier  arithmetic  complexity.(2)  An  Interactive  Oracle  Proof  (IOP)  for  the  Algebraic  Linking  IOP  (ALI)protocol  used  to  construct  zero  knowledge  scalable  transparent  arguments  ofknowledge  (ZK-STARKs)  in  [Ben-Sasson  et  al.,  eprint  2018].  The  new  protocol,called  DEEP-ALI,  improves  soundness  of  this  crucial  step  from  a  small  constant$&lt;  1/8$  to  a  constant  arbitrarily  close  to  $1$.</p>|2019-04-01  22:52:19.484659
http://arxiv.org/abs/1903.12247|iGen:  Dynamic  Interaction  Inference  for  Configurable  Software.  (arXiv:1903.12247v1  [cs.SE])|<p>To  develop,  analyze,  and  evolve  today's  highly  configurable  software  systems,developers  need  deep  knowledge  of  a  system's  configuration  options,  e.g.,  howoptions  need  to  be  set  to  reach  certain  locations,  what  configurations  to  usefor  testing,  etc.  Today,  acquiring  this  detailed  information  requires  manualeffort  that  is  difficult,  expensive,  and  error  prone.  In  this  paper,  we  proposeiGen,  a  novel,  lightweight  dynamic  analysis  technique  that  automaticallydiscovers  a  program's  \emph{interactions}---expressive  logical  formulae  thatgive  developers  rich  and  detailed  information  about  how  a  system'sconfiguration  option  settings  map  to  particular  code  coverage.  iGen  employs  aniterative  algorithm  that  runs  a  system  under  a  small  set  of  configurations,capturing  coverage  data;  processes  the  coverage  data  to  infer  potentialinteractions;  and  then  generates  new  configurations  to  further  refineinteractions  in  the  next  iteration.  We  evaluated  iGen  on  29  programs  spanningfive  languages;  the  breadth  of  this  study  would  be  unachievable  using  priorinteraction  inference  tools.  Our  results  show  that  iGen  finds  preciseinteractions  based  on  a  very  small  fraction  of  the  number  of  possibleconfigurations.  Moreover,  iGen's  results  confirm  several  earlier  hypothesesabout  typical  interaction  distributions  and  structures.</p>|2019-04-01  22:52:19.484739
http://arxiv.org/abs/1903.12248|Adversarial  Approximate  Inference  for  Speech  to  Electroglottograph  Conversion.  (arXiv:1903.12248v1  [eess.AS])|<p>Speech  produced  by  human  vocal  apparatus  conveys  substantial  non-semanticinformation  including  the  gender  of  the  speaker,  voice  quality,  affectivestate,  abnormalities  in  the  vocal  apparatus  etc.  Such  information  is  attributedto  the  properties  of  the  voice  source  signal,  which  is  usually  estimated  fromthe  speech  signal.  However,  most  of  the  source  estimation  techniques  dependheavily  on  the  goodness  of  the  model  assumptions  and  are  prone  to  noise.  Apopular  alternative  is  to  indirectly  obtain  the  source  information  through  theElectroglottographic  (EGG)  signal  that  measures  the  electrical  admittancearound  the  vocal  folds  using  a  dedicated  hardware.  In  this  paper,  we  addressthe  problem  of  estimating  the  EGG  signal  directly  from  the  speech  signal,devoid  of  any  hardware.  Sampling  from  the  intractable  conditional  distributionof  the  EGG  signal  given  the  speech  signal  is  accomplished  through  optimizationof  an  evidence  lower  bound.  This  is  constructed  via  minimization  of  theKL-divergence  between  the  true  and  the  approximated  posteriors  of  a  latentvariable  learned  using  a  deep  neural  auto-encoder  that  serves  an  informativeprior  which  reconstructs  the  EGG  signal.  We  demonstrate  the  efficacy  of  themethod  to  generate  EGG  signal  by  conducting  several  experiments  on  datasetscomprising  multiple  speakers,  voice  qualities,  noise  settings  and  speechpathologies.  The  proposed  method  is  evaluated  on  many  benchmark  metrics  and  isfound  to  agree  with  the  gold  standards  while  being  better  than  thestate-of-the-art  algorithms  on  a  few  tasks  such  as  epoch  extraction.</p>|2019-04-01  22:52:19.484790
http://arxiv.org/abs/1903.12254|Proving  Differential  Privacy  with  Shadow  Execution.  (arXiv:1903.12254v1  [cs.PL])|<p>Recent  work  on  formal  verification  of  differential  privacy  shows  a  trendtoward  usability  and  expressiveness  --  generating  a  correctness  proof  ofsophisticated  algorithm  while  minimizing  the  annotation  burden  on  programmers.Sometimes,  combining  those  two  requires  substantial  changes  to  program  logics:one  recent  paper  is  able  to  verify  Report  Noisy  Max  automatically,  but  itinvolves  a  complex  verification  system  using  customized  program  logics  andverifiers.</p><p>In  this  paper,  we  propose  a  new  proof  technique,  called  shadow  execution,  andembed  it  into  a  language  called  ShadowDP.  ShadowDP  uses  shadow  execution  togenerate  proofs  of  differential  privacy  with  very  few  programmer  annotationsand  without  relying  on  customized  logics  and  verifiers.  In  addition  toverifying  Report  Noisy  Max,  we  show  that  it  can  verify  a  new  variant  of  SparseVector  that  reports  the  gap  between  some  noisy  query  answers  and  the  noisythreshold.  Moreover,  ShadowDP  reduces  the  complexity  of  verification:  for  allof  the  algorithms  we  have  evaluated,  type  checking  and  verification  in  totaltakes  at  most  3  seconds,  while  prior  work  takes  minutes  on  the  same  algorithms.</p>|2019-04-01  22:52:19.484824
http://arxiv.org/abs/1903.12255|Improving  Object  Detection  with  Inverted  Attention.  (arXiv:1903.12255v1  [cs.CV])|<p>Improving  object  detectors  against  occlusion,  blur  and  noise  is  a  criticalstep  to  deploy  detectors  in  real  applications.  Since  it  is  not  possible  toexhaust  all  image  defects  through  data  collection,  many  researchers  seek  togenerate  hard  samples  in  training.  The  generated  hard  samples  are  either  imagesor  feature  maps  with  coarse  patches  dropped  out  in  the  spatial  dimensions.Significant  overheads  are  required  in  training  the  extra  hard  samples  and/orestimating  drop-out  patches  using  extra  network  branches.  In  this  paper,  weimprove  object  detectors  using  a  highly  efficient  and  fine-grain  mechanismcalled  Inverted  Attention  (IA).  Different  from  the  original  detector  networkthat  only  focuses  on  the  dominant  part  of  objects,  the  detector  network  with  IAiteratively  inverts  attention  on  feature  maps  and  puts  more  attention  oncomplementary  object  parts,  feature  channels  and  even  context.  Our  approach  (1)operates  along  both  the  spatial  and  channels  dimensions  of  the  feature  maps;(2)  requires  no  extra  training  on  hard  samples,  no  extra  network  parameters  forattention  estimation,  and  no  testing  overheads.  Experiments  show  that  ourapproach  consistently  improved  both  two-stage  and  single-stage  detectors  onbenchmark  databases.</p>|2019-04-01  22:52:19.484855
http://arxiv.org/abs/1903.12258|Using  Deep  Learning  Neural  Networks  and  Candlestick  Chart  Representation  to  Predict  Stock  Market.  (arXiv:1903.12258v1  [q-fin.GN])|<p>Stock  market  prediction  is  still  a  challenging  problem  because  there  are  manyfactors  effect  to  the  stock  market  price  such  as  company  news  and  performance,industry  performance,  investor  sentiment,  social  media  sentiment  and  economicfactors.  This  work  explores  the  predictability  in  the  stock  market  using  DeepConvolutional  Network  and  candlestick  charts.  The  outcome  is  utilized  to  designa  decision  support  framework  that  can  be  used  by  traders  to  provide  suggestedindications  of  future  stock  price  direction.  We  perform  this  work  using  varioustypes  of  neural  networks  like  convolutional  neural  network,  residual  networkand  visual  geometry  group  network.  From  stock  market  historical  data,  weconverted  it  to  candlestick  charts.  Finally,  these  candlestick  charts  will  befeed  as  input  for  training  a  Convolutional  Neural  Network  model.  ThisConvolutional  Neural  Network  model  will  help  us  to  analyze  the  patterns  insidethe  candlestick  chart  and  predict  the  future  movements  of  stock  market.  Theeffectiveness  of  our  method  is  evaluated  in  stock  market  prediction  with  apromising  results  92.2%  and  92.1%  accuracy  for  Taiwan  and  Indonesian  stockmarket  dataset  respectively.  The  constructed  model  have  been  implemented  as  aweb-based  system  freely  available  at  <a  href="http://140.138.155.216/deepcandle/">this  http  URL</a>  forpredicting  stock  market  using  candlestick  chart  and  deep  learning  neuralnetworks.</p>|2019-04-01  22:52:19.484886
