link|title|description
http://arxiv.org/abs/1903.11665|Microservice  Transition  and  its  Granularity  Problem:  A  Systematic  Mapping  Study.  (arXiv:1903.11665v1  [cs.SE])|"<p>Microservices  have  gained  wide  recognition  and  acceptance  in  softwareindustries  as  an  emerging  architectural  style  for  autonomic,  scalable,  and  morereliable  computing.  The  transition  to  microservices  has  been  highly  motivatedby  the  need  for  better  alignment  of  technical  design  decisions  with  improvingvalue  potentials  of  architectures.  Despite  microservices'  popularity,  researchstill  lacks  disciplined  understanding  of  transition  and  consensus  on  theprinciples  and  activities  underlying  ""micro-ing""  architectures.  In  this  paper,we  report  on  a  systematic  mapping  study  that  consolidates  various  views,approaches  and  activities  that  commonly  assist  in  the  transition  tomicroservices.  The  study  aims  to  provide  a  better  understanding  of  thetransition;  it  also  contributes  a  working  definition  of  the  transition  andtechnical  activities  underlying  it.  We  term  the  transition  and  technicalactivities  leading  to  microservice  architectures  as  microservitization.  We  thenshed  light  on  a  fundamental  problem  of  microservitization:  microservicegranularity  and  reasoning  about  its  adaptation  as  first-class  entities.  Thisstudy  reviews  state-of-the-art  and  -practice  related  to  reasoning  aboutmicroservice  granularity;  it  reviews  modelling  approaches,  aspects  considered,guidelines  and  processes  used  to  reason  about  microservice  granularity.  Thisstudy  identifies  opportunities  for  future  research  and  development  related  toreasoning  about  microservice  granularity.</p>"
http://arxiv.org/abs/1903.11670|The  minimum  value  of  the  Colless  index.  (arXiv:1903.11670v1  [q-bio.PE])|<p>The  Colless  index  is  one  of  the  oldest  and  most  widely  used  balance  indicesfor  rooted  bifurcating  trees.  Despite  its  popularity,  its  minimum  value  on  thespace  $mathcal{T}_n$  of  rooted  bifurcating  trees  with  $n$  leaves  is  only  knownwhen  $n$  is  a  power  of  2.  In  this  paper  we  fill  this  gap  in  the  literature,  byproviding  a  formula  that  computes,  for  each  $n$,  the  minimum  Colless  index  on$mathcal{T}_n$,  and  characterizing  those  trees  where  this  minimum  value  isreached.</p>
http://arxiv.org/abs/1903.11672|MuSE-ing  on  the  Impact  of  Utterance  Ordering  On  Crowdsourced  Emotion  Annotations.  (arXiv:1903.11672v1  [cs.SD])|"<p>Emotion  recognition  algorithms  rely  on  data  annotated  with  high  qualitylabels.  However,  emotion  expression  and  perception  are  inherently  subjective.There  is  generally  not  a  single  annotation  that  can  be  unambiguously  declared""correct"".  As  a  result,  annotations  are  colored  by  the  manner  in  which  theywere  collected.  In  this  paper,  we  conduct  crowdsourcing  experiments  toinvestigate  this  impact  on  both  the  annotations  themselves  and  on  theperformance  of  these  algorithms.  We  focus  on  one  critical  question:  the  effectof  context.  We  present  a  new  emotion  dataset,  Multimodal  Stressed  Emotion(MuSE),  and  annotate  the  dataset  using  two  conditions:  randomized,  in  whichannotators  are  presented  with  clips  in  random  order,  and  contextualized,  inwhich  annotators  are  presented  with  clips  in  order.  We  find  that  contextuallabeling  schemes  result  in  annotations  that  are  more  similar  to  a  speaker's  ownself-reported  labels  and  that  labels  generated  from  randomized  schemes  are  mosteasily  predictable  by  automated  systems.</p>"
http://arxiv.org/abs/1903.11673|Adversarial  Deep  Learning  in  EEG  Biometrics.  (arXiv:1903.11673v1  [cs.LG])|<p>Deep  learning  methods  for  person  identification  based  onelectroencephalographic  (EEG)  brain  activity  encounters  the  problem  ofexploiting  the  temporally  correlated  structures  or  recording  session  specificvariability  within  EEG.  Furthermore,  recent  methods  have  mostly  trained  andevaluated  based  on  single  session  EEG  data.  We  address  this  problem  from  aninvariant  representation  learning  perspective.  We  propose  an  adversarialinference  approach  to  extend  such  deep  learning  models  to  learnsession-invariant  person-discriminative  representations  that  can  providerobustness  in  terms  of  longitudinal  usability.  Using  adversarial  learningwithin  a  deep  convolutional  network,  we  empirically  assess  and  showimprovements  with  our  approach  based  on  longitudinally  collected  EEG  data  forperson  identification  from  half-second  EEG  epochs.</p>
http://arxiv.org/abs/1903.11674|On  Inversely  Proportional  Hypermutations  with  Mutation  Potential.  (arXiv:1903.11674v1  [cs.NE])|<p>Artificial  Immune  Systems  (AIS)  employing  hypermutations  with  linear  staticmutation  potential  have  recently  been  shown  to  be  very  effective  at  escapinglocal  optima  of  combinatorial  optimisation  problems  at  the  expense  of  beingslower  during  the  exploitation  phase  compared  to  standard  evolutionaryalgorithms.  In  this  paper  we  prove  that  considerable  speed-ups  in  theexploitation  phase  may  be  achieved  with  dynamic  inversely  proportional  mutationpotentials  (IPM)  and  argue  that  the  potential  should  decrease  inversely  to  thedistance  to  the  optimum  rather  than  to  the  difference  in  fitness.  Afterwards  wedefine  a  simple  (1+1)~Opt-IA,  that  uses  IPM  hypermutations  and  ageing,  forrealistic  applications  where  optimal  solutions  are  unknown.  The  aim  of  the  AISis  to  approximate  the  ideal  behaviour  of  the  inversely  proportionalhypermutations  better  and  better  as  the  search  space  is  explored.  We  prove  thatsuch  desired  behaviour,  and  related  speed-ups,  occur  for  a  well-studied  bimodalbenchmark  function  called  	extsc{TwoMax}.  Furthermore,  we  prove  that  the(1+1)~Opt-IA  with  IPM  efficiently  optimises  a  third  bimodal  function,	extsc{Cliff},  by  escaping  its  local  optima  while  Opt-IA  with  static  potentialcannot,  thus  requires  exponential  expected  runtime  in  the  distance  between  thecliff  and  the  optimum.</p>
http://arxiv.org/abs/1903.11677|Exact  Byzantine  Consensus  on  Undirected  Graphs  under  Local  Broadcast  Model.  (arXiv:1903.11677v1  [cs.DC])|<p>This  paper  considers  the  Byzantine  consensus  problem  for  nodes  with  binaryinputs.  The  nodes  are  interconnected  by  a  network  represented  as  an  undirectedgraph,  and  the  system  is  assumed  to  be  synchronous.  Under  the  classicalpoint-to-point  communication  model,  it  is  well-known  [7]  that  the  following  twoconditions  are  both  necessary  and  sufficient  to  achieve  Byzantine  consensusamong  $n$  nodes  in  the  presence  of  up  to  $f$  Byzantine  faulty  nodes:  $n  ge3f+1$  and  vertex  connectivity  at  least  $2f+1$.  In  the  classical  point-to-pointcommunication  model,  it  is  possible  for  a  faulty  node  to  equivocate,  i.e.,transmit  conflicting  information  to  different  neighbors.  Such  equivocation  ispossible  because  messages  sent  by  a  node  to  one  of  its  neighbors  are  notoverheard  by  other  neighbors.</p><p>This  paper  considers  the  local  broadcast  model.  In  contrast  to  thepoint-to-point  communication  model,  in  the  local  broadcast  model,  messages  sentby  a  node  are  received  identically  by  all  of  its  neighbors.  Thus,  under  thelocal  broadcast  model,  attempts  by  a  node  to  send  conflicting  information  canbe  detected  by  its  neighbors.  Under  this  model,  we  show  that  the  following  twoconditions  are  both  necessary  and  sufficient  for  Byzantine  consensus:  vertexconnectivity  at  least  $lfloor  3f/2  floor  +  1$  and  minimum  node  degree  atleast  $2f$.  Observe  that  the  local  broadcast  model  results  in  a  lowerrequirement  for  connectivity  and  the  number  of  nodes  $n$,  as  compared  to  thepoint-to-point  communication  model.</p><p>We  extend  the  above  results  to  a  hybrid  model  that  allows  some  of  theByzantine  faulty  nodes  to  equivocate.  The  hybrid  model  bridges  the  gap  betweenthe  point-to-point  and  local  broadcast  models,  and  helps  to  preciselycharacterize  the  trade-off  between  equivocation  and  network  requirements.</p>
http://arxiv.org/abs/1903.11678|Tree  Search  vs  Optimization  Approaches  for  Map  Generation.  (arXiv:1903.11678v1  [cs.AI])|<p>Search-based  procedural  content  generation  uses  stochastic  globaloptimization  algorithms  to  search  spaces  of  game  content.  However,  it  has  beenfound  that  tree  search  can  be  competitive  with  evolution  on  certainoptimization  problems.  We  investigate  the  applicability  of  several  tree  searchmethods  to  map  generation  and  compare  them  systematically  with  severaloptimization  algorithms,  including  evolutionary  algorithms.  For  purposes  ofcomparison,  we  use  a  simplified  map  generation  problem  where  only  passable  andimpassable  tiles  exist,  three  different  map  representations,  and  a  set  ofobjectives  that  are  representative  of  those  commonly  found  in  actual  levelgeneration  problem.  While  the  results  suggest  that  evolutionary  algorithmsproduce  good  maps  faster,  several  tree  search  methods  can  perform  very  wellgiven  sufficient  time,  and  there  are  interesting  differences  in  the  characterof  the  generated  maps  depending  on  the  algorithm  chosen,  even  for  the  samerepresentation  and  objective.</p>
http://arxiv.org/abs/1903.11680|Gradient  Descent  with  Early  Stopping  is  Provably  Robust  to  Label  Noise  for  Overparameterized  Neural  Networks.  (arXiv:1903.11680v1  [cs.LG])|<p>Modern  neural  networks  are  typically  trained  in  an  over-parameterized  regimewhere  the  parameters  of  the  model  far  exceed  the  size  of  the  training  data.  Dueto  over-parameterization  these  neural  networks  in  principle  have  the  capacityto  (over)fit  any  set  of  labels  including  pure  noise.  Despite  this  high  fittingcapacity,  somewhat  paradoxically,  neural  network  models  trained  via  first-ordermethods  continue  to  predict  well  on  yet  unseen  test  data.  In  this  paper  we  takea  step  towards  demystifying  this  phenomena.  In  particular  we  show  that  firstorder  methods  such  as  gradient  descent  are  provably  robust  to  noise/corruptionon  a  constant  fraction  of  the  labels  despite  over-parametrization  under  a  richdataset  model.  In  particular:  i)  First,  we  show  that  in  the  first  fewiterations  where  the  updates  are  still  in  the  vicinity  of  the  initializationthese  algorithms  only  fit  to  the  correct  labels  essentially  ignoring  the  noisylabels.  ii)  Secondly,  we  prove  that  to  start  to  overfit  to  the  noisy  labelsthese  algorithms  must  stray  rather  far  from  from  the  initial  model  which  canonly  occur  after  many  more  iterations.  Together,  these  show  that  gradientdescent  with  early  stopping  is  provably  robust  to  label  noise  and  shed  light  onempirical  robustness  of  deep  networks  as  well  as  commonly  adopted  heuristics  toprevent  overfitting.</p>
http://arxiv.org/abs/1903.11682|From  closed  to  open  access:  A  case  study  of  flipped  journals.  (arXiv:1903.11682v1  [cs.DL])|"<p>In  recent  years,  increased  stakeholder  pressure  to  transition  research  toOpen  Access  has  led  to  many  journals  ""flipping""  from  a  toll  access  to  an  openaccess  publishing  model.  Changing  the  publishing  model  can  influence  thedecision  of  authors  to  submit  their  papers  to  a  journal,  and  increased  articleaccessibility  may  influence  citation  behaviour.  The  aim  of  this  paper  is  toshow  changes  in  the  number  of  published  articles  and  citations  after  theflipping  of  a  journal.  We  analysed  a  set  of  171  journals  in  the  Web  of  Science(WoS)  which  flipped  to  open  access.  In  addition  to  comparing  the  number  ofarticles,  average  relative  citation  (ARC)  and  normalized  impact  factor  (IF)  areapplied,  respectively,  as  bibliometric  indicators  at  the  article  and  journallevel,  to  trace  the  transformation  of  flipped  journals  covered.  Our  resultsshow  that  flipping  mostly  has  had  positive  effects  on  journal's  IF.  But  it  hashad  no  obvious  citation  advantage  for  the  articles.  We  also  see  a  decline  inthe  number  of  published  articles  after  flipping.  We  can  conclude  that  flippingto  open  access  can  improve  the  performance  of  journals,  despite  decreasing  thetendency  of  authors  to  submit  their  articles  and  no  better  citation  advantagesfor  articles.</p>"
http://arxiv.org/abs/1903.11683|Outlier-Robust  Spatial  Perception:  Hardness,  General-Purpose  Algorithms,  and  Guarantees.  (arXiv:1903.11683v1  [stat.ML])|<p>Spatial  perception  is  the  backbone  of  many  robotics  applications,  and  spans  abroad  range  of  research  problems,  including  localization  and  mapping,  pointcloud  alignment,  and  relative  pose  estimation  from  camera  images.  Robustspatial  perception  is  jeopardized  by  the  presence  of  incorrect  dataassociation,  and  in  general,  outliers.  Although  techniques  to  handle  outliersdo  exist,  they  can  fail  in  unpredictable  manners  (e.g.,  RANSAC,  robustestimators),  or  can  have  exponential  runtime  (e.g.,  branch-and-bound).  In  thispaper,  we  advance  the  state  of  the  art  in  outlier  rejection  by  making  threecontributions.  First,  we  show  that  even  a  simple  linear  instance  of  outlierrejection  is  inapproximable:  in  the  worst-case  one  cannot  design  aquasi-polynomial  time  algorithm  that  computes  an  approximate  solutionefficiently.  Our  second  contribution  is  to  provide  the  first  per-instancesub-optimality  bounds  to  assess  the  approximation  quality  of  a  given  outlierrejection  outcome.  Our  third  contribution  is  to  propose  a  simplegeneral-purpose  algorithm,  named  adaptive  trimming,  to  remove  outliers.  Ouralgorithm  leverages  recently-proposed  global  solvers  that  are  able  to  solveoutlier-free  problems,  and  iteratively  removes  measurements  with  large  errors.We  demonstrate  the  proposed  algorithm  on  three  spatial  perception  problems:  3Dregistration,  two-view  geometry,  and  SLAM.  The  results  show  that  our  algorithmoutperforms  several  state-of-the-art  methods  across  applications  while  being  ageneral-purpose  method.</p>
http://arxiv.org/abs/1903.11688|Rallying  Adversarial  Techniques  against  Deep  Learning  for  Network  Security.  (arXiv:1903.11688v1  [cs.CR])|<p>Recent  advances  in  artificial  intelligence  and  the  increasing  need  forpowerful  defensive  measures  in  the  domain  of  network  security,  have  led  to  theadoption  of  deep  learning  approaches  for  use  in  network  intrusion  detectionsystems.  These  methods  have  achieved  superior  performance  against  conventionalnetwork  attacks,  which  enable  the  deployment  of  practical  security  systems  tounique  and  dynamic  sectors.  Adversarial  machine  learning,  unfortunately,  hasrecently  shown  that  deep  learning  models  are  inherently  vulnerable  toadversarial  modifications  on  their  input  data.  Because  of  this  susceptibility,the  deep  learning  models  deployed  to  power  a  network  defense  could  in  fact  bethe  weakest  entry  point  for  compromising  a  network  system.  In  this  paper,  weshow  that  by  modifying  on  average  as  little  as  1.38  of  the  input  features,  anadversary  can  generate  malicious  inputs  which  effectively  fool  a  deep  learningbased  NIDS.  Therefore,  when  designing  such  systems,  it  is  crucial  to  considerthe  performance  from  not  only  the  conventional  network  security  perspective  butalso  the  adversarial  machine  learning  domain.</p>
http://arxiv.org/abs/1903.11690|Optimization  of  Inf-Convolution  Regularized  Nonconvex  Composite  Problems.  (arXiv:1903.11690v1  [math.OC])|<p>In  this  work,  we  consider  nonconvex  composite  problems  that  involveinf-convolution  with  a  Legendre  function,  which  gives  rise  to  an  anisotropicgeneralization  of  the  proximal  mapping  and  Moreau-envelope.  In  a  convex  settingsuch  problems  can  be  solved  via  alternating  minimization  of  a  splittingformulation,  where  the  consensus  constraint  is  penalized  with  a  Legendrefunction.  In  contrast,  for  nonconvex  models  it  is  in  general  unclear  that  thisapproach  yields  stationary  points  to  the  infimal  convolution  problem.  To  thisend  we  analytically  investigate  local  regularity  properties  of  theMoreau-envelope  function  under  prox-regularity,  which  allows  us  to  establishthe  equivalence  between  stationary  points  of  the  splitting  model  and  theoriginal  inf-convolution  model.  We  apply  our  theory  to  characterize  stationarypoints  of  the  penalty  objective,  which  is  minimized  by  the  elastic  averagingSGD  (EASGD)  method  for  distributed  training.  Numerically,  we  demonstrate  thepractical  relevance  of  the  proposed  approach  on  the  important  task  ofdistributed  training  of  deep  neural  networks.</p>
http://arxiv.org/abs/1903.11691|Echo  State  Networks  with  Self-Normalizing  Activations  on  the  Hyper-Sphere.  (arXiv:1903.11691v1  [cs.NE])|<p>Among  the  various  architectures  of  Recurrent  Neural  Networks,  Echo  StateNetworks  (ESNs)  emerged  due  to  their  simplified  and  inexpensive  trainingprocedure.  These  networks  are  known  to  be  sensitive  to  the  setting  ofhyper-parameters,  which  critically  affect  their  behaviour.  Results  show  thattheir  performance  is  usually  maximized  in  a  narrow  region  of  hyper-parameterspace  called  edge  of  chaos.  Finding  such  a  region  requires  searching  inhyper-parameter  space  in  a  sensible  way:  hyper-parameter  configurationsmarginally  outside  such  a  region  might  yield  networks  exhibiting  fullydeveloped  chaos,  hence  producing  unreliable  computations.  The  performance  gaindue  to  optimizing  hyper-parameters  can  be  studied  by  considering  thememory--nonlinearity  trade-off,  i.e.,  the  fact  that  increasing  the  nonlinearbehavior  of  the  network  degrades  its  ability  to  remember  past  inputs,  andvice-versa.  In  this  paper,  we  propose  a  model  of  ESNs  that  eliminates  criticaldependence  on  hyper-parameters,  resulting  in  networks  that  provably  cannotenter  a  chaotic  regime  and,  at  the  same  time,  denotes  nonlinear  behaviour  inphase  space  characterised  by  a  large  memory  of  past  inputs,  comparable  to  theone  of  linear  networks.  Our  contribution  is  supported  by  experimentscorroborating  our  theoretical  findings,  showing  that  the  proposed  modeldisplays  dynamics  that  are  rich-enough  to  approximate  many  common  nonlinearsystems  used  for  benchmarking.</p>
